game_id,turns,w_ctrld_pawn,w_ctrld_knight,w_ctrld_bishop,w_ctrld_rook,w_ctrld_queen,w_ctrld_king,w_preassure_points,w_ctrld_diagonals,w_ctrld_lines,b_ctrld_pawn,b_ctrld_knight,b_ctrld_bishop,b_ctrld_rook,b_ctrld_queen,b_ctrld_king,b_preassure_points,b_ctrld_diagonals,b_ctrld_lines,rated_cod,winner_cod,current_turn_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,opening_shortname_cod,opening_variation_cod,moves_fen_cod
16991,73,7,7,0,10,17,3,8,1,4,4,0,0,0,0,0,1,0,2,1,1,0,19,217,1055,102,180,9197
16992,65,6,7,18,19,0,2,13,5,5,5,0,0,0,0,0,2,0,2,1,1,0,19,206,526,52,565,1067
16993,130,1,0,0,0,0,5,0,0,0,2,0,0,0,0,5,2,0,0,1,0,1,19,255,855,90,455,10340
16994,28,13,0,0,0,0,0,9,2,4,12,9,0,7,10,6,8,2,5,0,0,1,196,237,964,94,539,16968
16995,44,5,0,0,16,0,2,4,0,4,5,6,0,12,10,6,10,1,7,1,0,1,19,171,181,26,608,14104
16996,54,11,0,0,8,15,2,9,3,5,8,0,0,12,0,0,4,0,2,1,0,1,19,170,642,61,297,11077
16997,48,6,0,0,0,0,0,3,0,1,10,5,6,15,13,2,12,4,6,1,0,1,19,245,1368,110,345,15738
16998,55,11,0,0,0,0,5,2,0,0,9,0,0,0,0,3,2,0,0,1,1,0,232,190,771,83,608,10887
16999,36,7,0,9,17,0,1,6,3,5,8,6,8,15,0,0,11,3,3,1,0,1,304,254,854,90,383,15449
17000,11,10,2,0,2,4,3,8,1,1,11,3,4,1,17,4,10,3,3,1,0,0,369,190,784,83,308,17458
17001,59,10,0,6,9,0,1,3,2,3,7,0,7,7,0,3,2,2,2,1,1,0,373,20,255,33,272,10804
17002,16,11,4,12,4,6,3,9,5,3,12,7,11,2,4,4,10,4,2,1,0,1,20,260,860,90,608,16781
17003,63,6,4,16,21,0,2,12,5,5,7,0,0,0,0,0,6,0,4,1,1,0,102,190,771,83,608,12003
17004,44,4,0,5,3,0,5,3,1,1,8,5,0,14,17,6,14,1,5,1,0,1,306,254,854,90,383,5815
17005,60,9,0,3,20,14,3,14,4,7,6,0,0,13,3,1,8,1,7,1,1,1,306,190,790,83,412,15367
17006,33,11,8,9,12,0,3,11,2,4,8,7,4,6,0,2,9,1,1,1,1,0,232,235,945,94,608,13635
